,lastUpdatedAt,actualLandingTime,aircraftRegistration,estimatedLandingTime,expectedTimeOnBelt,flightDirection,flightName,flightNumber,gate,pier,id,isOperationalFlight,mainFlight,prefixIATA,prefixICAO,airlineCode,scheduleDateTime,scheduleDate,scheduleTime,serviceType,terminal,schemaVersion,aircraftType.iataMain,aircraftType.iataSub,baggageClaim.belts,codeshares.codeshares,publicFlightState.flightStates,route.destinations,route.eu,route.visa,actualOffBlockTime,expectedSecurityFilter,checkinAllocations.checkinAllocations,publicEstimatedOffBlockTime,expectedTimeBoarding,expectedTimeGateClosing,expectedTimeGateOpen,transferPositions.transferPositions,Luchthaven,Stad,Land,Continent,TypeVliegtuig,ModelVliegtuig
10,2025-03-25T05:32:39.238+01:00,2025-03-25T05:20:15.000+01:00,OEIXF,2025-03-25T05:20:20.000+01:00,,A,FX4235,4235,,,141995495329519730,True,FX4235,FX,FDX,219.0,2025-03-25T05:15:00.000+01:00,2025-03-25,05:15:00,F,,4,73F,73K,,,['LND'],CDG,S,False,,,,,,,,,Charles de Gaulle,Parijs,Frankrijk,Europa,73F-73K,Boeing 737-800
63,2025-03-25T07:03:27.306+01:00,,PHEZW,,,D,DL9606,9606,B22,B,141995495007681301,True,KL1701,DL,DAL,58.0,2025-03-25T06:50:00.000+01:00,2025-03-25,06:50:00,J,1.0,4,EMJ,E90,,"['DL9606', 'MF9353', 'MU1833']",['DEP'],BRU,S,False,2025-03-25T06:49:38.000+01:00,VF1,"[{'endTime': '2025-03-25T06:10:00.000+01:00', 'rows': {'rows': [{'position': '6', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}, {'position': 8}, {'position': 9}, {'position': 10}]}}, {'position': '7', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}, {'position': 8}, {'position': 9}, {'position': 10}]}}, {'position': '8', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}]}}]}, 'startTime': '2025-03-25T04:35:00.000+01:00'}]",,2025-03-25T06:25:00.000+01:00,2025-03-25T06:35:00.000+01:00,2025-03-25T06:20:00.000+01:00,,Brussels,Brussel,België,Europa,EMJ-E90,Embraer-E90
64,2025-03-25T07:03:27.306+01:00,,PHEZW,,,D,MF9353,9353,B22,B,141995496233374745,True,KL1701,MF,CXA,1551.0,2025-03-25T06:50:00.000+01:00,2025-03-25,06:50:00,J,1.0,4,EMJ,E90,,"['DL9606', 'MF9353', 'MU1833']",['DEP'],BRU,S,False,2025-03-25T06:49:38.000+01:00,VF1,"[{'endTime': '2025-03-25T06:10:00.000+01:00', 'rows': {'rows': [{'position': '6', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}, {'position': 8}, {'position': 9}, {'position': 10}]}}, {'position': '7', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}, {'position': 8}, {'position': 9}, {'position': 10}]}}, {'position': '8', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}]}}]}, 'startTime': '2025-03-25T04:35:00.000+01:00'}]",,2025-03-25T06:25:00.000+01:00,2025-03-25T06:35:00.000+01:00,2025-03-25T06:20:00.000+01:00,,Brussels,Brussel,België,Europa,EMJ-E90,Embraer-E90
65,2025-03-25T07:03:27.306+01:00,,PHEZW,,,D,MU1833,1833,B22,B,141995496288802669,True,KL1701,MU,CES,1294.0,2025-03-25T06:50:00.000+01:00,2025-03-25,06:50:00,J,1.0,4,EMJ,E90,,"['DL9606', 'MF9353', 'MU1833']",['DEP'],BRU,S,False,2025-03-25T06:49:38.000+01:00,VF1,"[{'endTime': '2025-03-25T06:10:00.000+01:00', 'rows': {'rows': [{'position': '6', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}, {'position': 8}, {'position': 9}, {'position': 10}]}}, {'position': '7', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}, {'position': 8}, {'position': 9}, {'position': 10}]}}, {'position': '8', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}]}}]}, 'startTime': '2025-03-25T04:35:00.000+01:00'}]",,2025-03-25T06:25:00.000+01:00,2025-03-25T06:35:00.000+01:00,2025-03-25T06:20:00.000+01:00,,Brussels,Brussel,België,Europa,EMJ-E90,Embraer-E90
66,2025-03-25T07:03:27.306+01:00,,PHEZW,,,D,KL1701,1701,B22,B,141995495977688979,True,KL1701,KL,KLM,100.0,2025-03-25T06:50:00.000+01:00,2025-03-25,06:50:00,J,1.0,4,EMJ,E90,,"['DL9606', 'MF9353', 'MU1833']",['DEP'],BRU,S,False,2025-03-25T06:49:38.000+01:00,VF1,"[{'endTime': '2025-03-25T06:10:00.000+01:00', 'rows': {'rows': [{'position': '6', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}, {'position': 8}, {'position': 9}, {'position': 10}]}}, {'position': '7', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}, {'position': 8}, {'position': 9}, {'position': 10}]}}, {'position': '8', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}]}}]}, 'startTime': '2025-03-25T04:35:00.000+01:00'}]",,2025-03-25T06:25:00.000+01:00,2025-03-25T06:35:00.000+01:00,2025-03-25T06:20:00.000+01:00,,Brussels,Brussel,België,Europa,EMJ-E90,Embraer-E90
70,2025-03-25T07:16:10.242+01:00,,PHAXB,,,D,DL9205,9205,D62,D,141995495007670347,True,KL1401,DL,DAL,58.0,2025-03-25T06:50:00.000+01:00,2025-03-25,06:50:00,J,1.0,4,32S,32Q,,"['AF8373', 'DL9205', 'MU1555', 'VN3107']",['DEP'],CDG,S,False,2025-03-25T07:01:52.000+01:00,VF1,"[{'endTime': '2025-03-25T06:10:00.000+01:00', 'rows': {'rows': [{'position': '6', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}, {'position': 8}, {'position': 9}, {'position': 10}]}}, {'position': '7', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}, {'position': 8}, {'position': 9}, {'position': 10}]}}, {'position': '8', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}]}}]}, 'startTime': '2025-03-25T04:35:00.000+01:00'}]",,2025-03-25T06:20:00.000+01:00,2025-03-25T06:35:00.000+01:00,2025-03-25T05:50:00.000+01:00,,Charles de Gaulle,Parijs,Frankrijk,Europa,32S-32Q,Airbus A-321neo
71,2025-03-25T07:16:10.242+01:00,,PHAXB,,,D,MU1555,1555,D62,D,141995496288794607,True,KL1401,MU,CES,1294.0,2025-03-25T06:50:00.000+01:00,2025-03-25,06:50:00,J,1.0,4,32S,32Q,,"['AF8373', 'DL9205', 'MU1555', 'VN3107']",['DEP'],CDG,S,False,2025-03-25T07:01:52.000+01:00,VF1,"[{'endTime': '2025-03-25T06:10:00.000+01:00', 'rows': {'rows': [{'position': '6', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}, {'position': 8}, {'position': 9}, {'position': 10}]}}, {'position': '7', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}, {'position': 8}, {'position': 9}, {'position': 10}]}}, {'position': '8', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}]}}]}, 'startTime': '2025-03-25T04:35:00.000+01:00'}]",,2025-03-25T06:20:00.000+01:00,2025-03-25T06:35:00.000+01:00,2025-03-25T05:50:00.000+01:00,,Charles de Gaulle,Parijs,Frankrijk,Europa,32S-32Q,Airbus A-321neo
72,2025-03-25T07:16:10.242+01:00,,PHAXB,,,D,VN3107,3107,D62,D,141995497510938873,True,KL1401,VN,HVN,2328.0,2025-03-25T06:50:00.000+01:00,2025-03-25,06:50:00,J,1.0,4,32S,32Q,,"['AF8373', 'DL9205', 'MU1555', 'VN3107']",['DEP'],CDG,S,False,2025-03-25T07:01:52.000+01:00,VF1,"[{'endTime': '2025-03-25T06:10:00.000+01:00', 'rows': {'rows': [{'position': '6', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}, {'position': 8}, {'position': 9}, {'position': 10}]}}, {'position': '7', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}, {'position': 8}, {'position': 9}, {'position': 10}]}}, {'position': '8', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}]}}]}, 'startTime': '2025-03-25T04:35:00.000+01:00'}]",,2025-03-25T06:20:00.000+01:00,2025-03-25T06:35:00.000+01:00,2025-03-25T05:50:00.000+01:00,,Charles de Gaulle,Parijs,Frankrijk,Europa,32S-32Q,Airbus A-321neo
73,2025-03-25T07:16:10.242+01:00,,PHAXB,,,D,KL1401,1401,D62,D,141995495977680765,True,KL1401,KL,KLM,100.0,2025-03-25T06:50:00.000+01:00,2025-03-25,06:50:00,J,1.0,4,32S,32Q,,"['AF8373', 'DL9205', 'MU1555', 'VN3107']",['DEP'],CDG,S,False,2025-03-25T07:01:52.000+01:00,VF1,"[{'endTime': '2025-03-25T06:10:00.000+01:00', 'rows': {'rows': [{'position': '6', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}, {'position': 8}, {'position': 9}, {'position': 10}]}}, {'position': '7', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}, {'position': 8}, {'position': 9}, {'position': 10}]}}, {'position': '8', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}]}}]}, 'startTime': '2025-03-25T04:35:00.000+01:00'}]",,2025-03-25T06:20:00.000+01:00,2025-03-25T06:35:00.000+01:00,2025-03-25T05:50:00.000+01:00,,Charles de Gaulle,Parijs,Frankrijk,Europa,32S-32Q,Airbus A-321neo
74,2025-03-25T07:16:10.242+01:00,,PHAXB,,,D,AF8373,8373,D62,D,141995494569018619,True,KL1401,AF,AFR,80.0,2025-03-25T06:50:00.000+01:00,2025-03-25,06:50:00,J,1.0,4,32S,32Q,,"['AF8373', 'DL9205', 'MU1555', 'VN3107']",['DEP'],CDG,S,False,2025-03-25T07:01:52.000+01:00,VF1,"[{'endTime': '2025-03-25T06:10:00.000+01:00', 'rows': {'rows': [{'position': '6', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}, {'position': 8}, {'position': 9}, {'position': 10}]}}, {'position': '7', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}, {'position': 8}, {'position': 9}, {'position': 10}]}}, {'position': '8', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}]}}]}, 'startTime': '2025-03-25T04:35:00.000+01:00'}]",,2025-03-25T06:20:00.000+01:00,2025-03-25T06:35:00.000+01:00,2025-03-25T05:50:00.000+01:00,,Charles de Gaulle,Parijs,Frankrijk,Europa,32S-32Q,Airbus A-321neo
